Stops,No.,Driver,Team,Lap,Time of Day,Time,Total
1,27,Nico HulkenbergHUL,Kick Sauber,7,17:14:13,21.619,21.619
1,44,Lewis HamiltonHAM,Ferrari,8,17:15:40,21.601,21.601
1,23,Alexander AlbonALB,Williams,8,17:15:41,21.551,21.551
1,10,Pierre GaslyGAS,Alpine,13,17:23:21,22.585,22.585
1,63,George RussellRUS,Mercedes,14,17:24:34,21.979,21.979
1,6,Isack HadjarHAD,Racing Bulls,14,17:24:41,21.932,21.932
1,87,Oliver BearmanBEA,Haas F1 Team,14,17:24:45,22.263,22.263
1,5,Gabriel BortoletoBOR,Kick Sauber,15,17:26:07,22.121,22.121
1,43,Franco ColapintoCOL,Alpine,15,17:26:25,21.953,21.953
1,4,Lando NorrisNOR,McLaren,16,17:27:28,21.323,21.323
1,16,Charles LeclercLEC,Ferrari,16,17:27:30,21.692,21.692
1,14,Fernando AlonsoALO,Aston Martin,16,17:27:35,23.267,23.267
1,55,Carlos SainzSAI,Williams,18,17:30:51,21.799,21.799
1,31,Esteban OconOCO,Haas F1 Team,19,17:32:16,22.254,22.254
1,30,Liam LawsonLAW,Racing Bulls,21,17:35:27,28.369,28.369
1,1,Max VerstappenVER,Red Bull Racing,23,17:37:49,21.703,21.703
2,44,Lewis HamiltonHAM,Ferrari,31,17:50:26,21.417,43.018
1,22,Yuki TsunodaTSU,Red Bull Racing,32,17:51:52,27.041,27.041
1,12,Kimi AntonelliANT,Mercedes,32,17:52:04,22.155,22.155
2,23,Alexander AlbonALB,Williams,33,17:53:36,21.495,43.046
2,16,Charles LeclercLEC,Ferrari,39,18:01:53,20.902,42.594
2,4,Lando NorrisNOR,McLaren,40,18:03:15,21.407,42.730
2,10,Pierre GaslyGAS,Alpine,40,18:04:14,22.234,44.819
2,43,Franco ColapintoCOL,Alpine,40,18:04:20,22.955,44.908
1,81,Oscar PiastriPIA,McLaren,41,18:04:39,21.565,21.565
1,18,Lance StrollSTR,Aston Martin,42,18:06:56,21.535,21.535
2,27,Nico HulkenbergHUL,Kick Sauber,42,18:07:04,21.468,43.087
