Pos.,No.,Driver,Team,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing,1:22.877,1:22.752,1:22.207,18
2,4,Lando NorrisNOR,McLaren,1:23.178,1:22.804,1:22.408,17
3,81,Oscar PiastriPIA,McLaren,1:22.605,1:23.021,1:22.437,17
4,63,George RussellRUS,Mercedes,1:23.247,1:22.730,1:22.645,18
5,16,Charles LeclercLEC,Ferrari,1:23.163,1:22.948,1:22.730,18
6,14,Fernando AlonsoALO,Aston Martin,1:23.071,1:22.861,1:22.902,18
7,5,Gabriel BortoletoBOR,Kick Sauber,1:23.374,1:22.874,1:22.904,21
8,31,Esteban OconOCO,Haas F1 Team,1:23.334,1:23.023,1:22.913,18
9,6,Isack HadjarHAD,Racing Bulls,1:23.373,1:22.997,1:23.072,18
10,22,Yuki TsunodaTSU,Red Bull Racing,1:23.386,1:23.034,DNF,17
11,87,Oliver BearmanBEA,Haas F1 Team,1:23.254,1:23.041,,11
12,55,Carlos SainzSAI,Williams,1:23.187,1:23.042,,12
13,30,Liam LawsonLAW,Racing Bulls,1:23.265,1:23.077,,14
14,12,Kimi AntonelliANT,Mercedes,1:22.894,1:23.080,,12
15,18,Lance StrollSTR,Aston Martin,1:23.316,1:23.097,,15
16,44,Lewis HamiltonHAM,Ferrari,1:23.394,,,9
17,23,Alexander AlbonALB,Williams,1:23.416,,,6
18,27,Nico HulkenbergHUL,Kick Sauber,1:23.450,,,9
19,10,Pierre GaslyGAS,Alpine,1:23.468,,,9
20,43,Franco ColapintoCOL,Alpine,1:23.890,,,9
